state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Pennsylvania,Snyder County,Northeast,Non-metro,7,42.7,40372,13983,4910,25.6530825,21.25111008,19.76856041,7.6,56873
Idaho,Kootenai County,West,Metro,3,39.4,165697,62837,24312,27.0500011,40.74607468,25.19151878,6.9,62764
Florida,Baker County,South,Metro,1,31.5,29210,11911,2037,14.4889395,29.89247322,13.24416447,4.9,60454
Georgia,Peach County,South,Metro,3,15.4,27546,6506,5922,47.1759739,32.61460114,20.5489521,6.2,49815
North Carolina,Camden County,South,Non-metro,8,51.4,10867,4312,1537,25.8189148,39.99731445,17.11675453,5.5,69610
Alaska,Kodiak Island Borough,West,Non-metro,7,58,12998,NA,NA,NA,32.1020813,27.99417877,6.2,79669
Kansas,Barber County,Midwest,Non-metro,9,43.3,4427,1992,284,12.2784263,36.72263718,20.67786026,3.4,50660
Texas,Lipscomb County,South,Non-metro,9,32,3233,1205,131,9.6821877,29.88814354,19.6868,4.2,65388
Alaska,Bethel Census Area,West,Non-metro,7,58.4,18386,NA,NA,NA,22.60993767,11.87633896,11.6,48262
Arkansas,Miller County,South,Metro,3,27.6,43257,11920,4245,25.6821344,34.38859177,16.75601006,6.9,50905
Colorado,Delta County,West,Non-metro,6,43.4,31162,13081,5887,30.3923593,30.69573402,21.68842316,6.6,51525
Utah,Sanpete County,West,Non-metro,6,34.8,30939,10459,1794,14.203151,40.39941025,20.92102242,3.7,54648
Alabama,Cherokee County,South,Non-metro,6,29,26196,10583,1624,13.2021787,28.56310272,12.75299358,4.6,45982
Michigan,Berrien County,Midwest,Metro,3,51.5,153401,43519,37438,45.4394291,33.80408478,27.79826927,8.6,50659
Missouri,Gentry County,Midwest,Non-metro,8,40,6571,2581,613,18.9372876,27.6576786,19.05504799,3.4,53663
Maryland,Allegany County,South,Metro,3,50.1,70416,20886,9158,29.8880585,29.54267693,18.88583946,7.8,48170
Kansas,Decatur County,Midwest,Non-metro,9,37.2,2827,1232,208,14.266118,36.05030441,22.54308319,3.7,46878
Indiana,Starke County,Midwest,Non-metro,6,33.9,22995,7466,2650,25.7531584,30.89827156,11.86934185,8,54001
Utah,Salt Lake County,West,Metro,1,59.8,1160437,230174,289906,53.5697325,32.62113953,35.5702095,5.1,79941
